ENTREZID	SYMBOL	ENSEMBL	GENENAME
105370369	LINC02337	ENSG00000215881	long intergenic non-protein coding RNA 2337
101928616	LINC00354	ENSG00000226903	long intergenic non-protein coding RNA 354
100505996	SOX1-OT	ENSG00000224243	SOX1 overlapping transcript
105378193	LOC105378193	NA	uncharacterized LOC105378193
6656	SOX1	ENSG00000182968	SRY-box transcription factor 1
101928698	LINC01070	ENSG00000260102	long intergenic non-protein coding RNA 1070
101928730	LOC101928730	NA	uncharacterized LOC101928730
104266956	LINC01044	ENSG00000223626	long intergenic non-protein coding RNA 1044
104266956	LINC01044	ENSG00000282737	long intergenic non-protein coding RNA 1044
122258	SPACA7	ENSG00000153498	sperm acrosome associated 7
122258	SPACA7	ENSG00000275865	sperm acrosome associated 7
10426	TUBGCP3	ENSG00000126216	tubulin gamma complex component 3
10426	TUBGCP3	ENSG00000282003	tubulin gamma complex component 3
400165	ATP11AUN	ENSG00000197595	ATP11A upstream neighbor lncRNA
23250	ATP11A	ENSG00000068650	ATPase phospholipid transporting 11A
105370374	NA	NA	NA
100874205	ATP11A-AS1	ENSG00000232684	ATP11A antisense RNA 1
105378192	NA	NA	NA
23263	MCF2L	ENSG00000126217	MCF.2 cell line derived transforming sequence like
100289410	MCF2L-AS1	NA	MCF2L antisense RNA 1
2155	F7	ENSG00000057593	coagulation factor VII
2159	F10	ENSG00000126218	coagulation factor X
