NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS	GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS		28	0.26532397	0.79809	0.7523511	0.9500129	1.0	516	tags=29%, list=23%, signal=37%	
GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT	GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT		18	0.30308926	0.79764897	0.7440273	0.94930965	1.0	420	tags=22%, list=19%, signal=27%	
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION	GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION		50	0.23404467	0.7976223	0.7976012	0.9478856	1.0	420	tags=26%, list=19%, signal=31%	
GOBP_DETECTION_OF_STIMULUS	GOBP_DETECTION_OF_STIMULUS		25	0.26795676	0.7954839	0.73170733	0.95004064	1.0	70	tags=8%, list=3%, signal=8%	
GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION	GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION		118	0.20362067	0.7936416	0.8543689	0.9518103	1.0	362	tags=19%, list=16%, signal=21%	
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS	GOBP_ORGANIC_ACID_CATABOLIC_PROCESS		30	0.26323587	0.79358655	0.7584	0.9504236	1.0	331	tags=17%, list=15%, signal=19%	
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY		32	0.25852337	0.7907814	0.7565485	0.9536749	1.0	267	tags=13%, list=12%, signal=14%	
GOBP_MALE_SEX_DIFFERENTIATION	GOBP_MALE_SEX_DIFFERENTIATION		23	0.27759302	0.7905015	0.7641509	0.95267934	1.0	247	tags=22%, list=11%, signal=24%	
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION	GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION		43	0.24355084	0.7867969	0.7848485	0.95731777	1.0	622	tags=33%, list=28%, signal=44%	
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE	GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE		50	0.23361371	0.7867258	0.76619273	0.95597816	1.0	245	tags=16%, list=11%, signal=18%	
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	GOBP_CARBOHYDRATE_CATABOLIC_PROCESS		24	0.27472	0.7859878	0.7557377	0.95578176	1.0	335	tags=25%, list=15%, signal=29%	
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION	GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MIGRATION		21	0.2835369	0.7842977	0.7352445	0.95699966	1.0	457	tags=24%, list=20%, signal=30%	
GOBP_GASTRULATION	GOBP_GASTRULATION		26	0.26226217	0.78380334	0.7772436	0.95638454	1.0	83	tags=8%, list=4%, signal=8%	
GOBP_NERVOUS_SYSTEM_PROCESS	GOBP_NERVOUS_SYSTEM_PROCESS		126	0.19918518	0.78365725	0.8707483	0.95522314	1.0	892	tags=50%, list=40%, signal=79%	
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT	GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT		57	0.2320005	0.78278244	0.82844573	0.95513046	1.0	60	tags=4%, list=3%, signal=4%	
GOBP_REGULATION_OF_CELL_CELL_ADHESION	GOBP_REGULATION_OF_CELL_CELL_ADHESION		70	0.21883477	0.78185207	0.84022826	0.95518786	1.0	431	tags=26%, list=19%, signal=31%	
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS		27	0.25902885	0.77865916	0.7663399	0.9588534	1.0	362	tags=19%, list=16%, signal=22%	
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS		153	0.19284704	0.7782134	0.8990704	0.9580872	1.0	420	tags=19%, list=19%, signal=22%	
GOBP_CELL_JUNCTION_ORGANIZATION	GOBP_CELL_JUNCTION_ORGANIZATION		137	0.1948434	0.77755165	0.89508635	0.9577055	1.0	716	tags=38%, list=32%, signal=52%	
GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GOBP_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM		53	0.22441654	0.7752106	0.80527085	0.9599429	1.0	736	tags=40%, list=33%, signal=58%	
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN		38	0.23785093	0.7746989	0.80650157	0.9593377	1.0	362	tags=18%, list=16%, signal=22%	
GOBP_OLIGODENDROCYTE_DIFFERENTIATION	GOBP_OLIGODENDROCYTE_DIFFERENTIATION		16	0.29770374	0.7746213	0.7626016	0.9580243	1.0	848	tags=50%, list=38%, signal=80%	
