NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_ORGANELLE_FUSION	GOBP_ORGANELLE_FUSION		26	-0.46166492	-1.4935676	0.05202312	0.18624762	1.0	327	tags=42%, list=15%, signal=49%	
GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT	GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT		15	-0.51668465	-1.4934508	0.07487923	0.18461108	1.0	23	tags=13%, list=1%, signal=13%	
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION		100	-0.3450225	-1.4879925	0.01754386	0.1888614	1.0	251	tags=28%, list=11%, signal=30%	
GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	GOBP_CELLULAR_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES		22	-0.47090152	-1.4770064	0.053658538	0.19983901	1.0	295	tags=36%, list=13%, signal=41%	
GOBP_CHROMATIN_ORGANIZATION	GOBP_CHROMATIN_ORGANIZATION		88	-0.3526185	-1.4758422	0.013071896	0.19933994	1.0	380	tags=38%, list=17%, signal=43%	
GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY	GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY		20	-0.48669425	-1.4684922	0.06366048	0.20627831	1.0	310	tags=30%, list=14%, signal=35%	
GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	GOBP_DNA_TEMPLATED_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY		15	-0.51005286	-1.463928	0.060606062	0.21011487	1.0	511	tags=67%, list=23%, signal=86%	
GOBP_ORGANELLE_LOCALIZATION	GOBP_ORGANELLE_LOCALIZATION		88	-0.34782115	-1.4632778	0.010791367	0.20893562	1.0	307	tags=32%, list=14%, signal=35%	
GOBP_MEIOTIC_CELL_CYCLE	GOBP_MEIOTIC_CELL_CYCLE		43	-0.39980847	-1.4625973	0.02431611	0.20781256	1.0	498	tags=56%, list=22%, signal=70%	
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION		64	-0.3733556	-1.4623507	0.036253776	0.20627488	1.0	365	tags=34%, list=16%, signal=40%	
GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	GOBP_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS		18	-0.48899856	-1.4586358	0.052256532	0.20871368	1.0	251	tags=33%, list=11%, signal=37%	
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS	GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS		36	-0.4063558	-1.4555851	0.04812834	0.2107395	1.0	100	tags=17%, list=4%, signal=17%	
GOBP_TRNA_METABOLIC_PROCESS	GOBP_TRNA_METABOLIC_PROCESS		16	-0.49457344	-1.4532611	0.06542056	0.2116893	1.0	260	tags=50%, list=12%, signal=56%	
GOBP_ORGANELLE_ASSEMBLY	GOBP_ORGANELLE_ASSEMBLY		130	-0.31300452	-1.4464074	0.011857707	0.2182588	1.0	368	tags=32%, list=16%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION	GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION		15	-0.51668465	-1.4459827	0.085427135	0.21694688	1.0	23	tags=13%, list=1%, signal=13%	
GOBP_GLYCEROLIPID_METABOLIC_PROCESS	GOBP_GLYCEROLIPID_METABOLIC_PROCESS		53	-0.37662458	-1.4385532	0.047058824	0.22451138	1.0	100	tags=13%, list=4%, signal=13%	
GOBP_CYTOSOLIC_TRANSPORT	GOBP_CYTOSOLIC_TRANSPORT		16	-0.49282083	-1.4385414	0.0839895	0.22258459	1.0	104	tags=25%, list=5%, signal=26%	
GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS	GOBP_POSITIVE_REGULATION_OF_ENDOCYTOSIS		19	-0.47159255	-1.4384322	0.08226221	0.22081897	1.0	354	tags=37%, list=16%, signal=43%	
GOBP_PROTEIN_STABILIZATION	GOBP_PROTEIN_STABILIZATION		21	-0.47111076	-1.4370807	0.0839895	0.220711	1.0	72	tags=19%, list=3%, signal=19%	
GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	GOBP_POSITIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION		16	-0.50145155	-1.4329643	0.06329114	0.22419137	1.0	251	tags=56%, list=11%, signal=63%	
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION	GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION		16	-0.4996809	-1.4311439	0.07435898	0.22460034	1.0	289	tags=50%, list=13%, signal=57%	
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS		85	-0.32975402	-1.4308261	0.013245033	0.22313261	1.0	233	tags=26%, list=10%, signal=28%	
GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	GOBP_POST_TRANSLATIONAL_PROTEIN_MODIFICATION		121	-0.31806412	-1.4267486	0.015873017	0.22642602	1.0	251	tags=26%, list=11%, signal=28%	
GOBP_MEIOTIC_CELL_CYCLE_PROCESS	GOBP_MEIOTIC_CELL_CYCLE_PROCESS		34	-0.40359136	-1.4250124	0.07506702	0.2269049	1.0	526	tags=59%, list=24%, signal=76%	
GOBP_NUCLEUS_ORGANIZATION	GOBP_NUCLEUS_ORGANIZATION		17	-0.4809018	-1.4237028	0.07848101	0.2267825	1.0	511	tags=71%, list=23%, signal=91%	
GOBP_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION	GOBP_NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION		17	-0.48147574	-1.4070512	0.09181141	0.24673316	1.0	402	tags=29%, list=18%, signal=36%	
GOBP_NEURON_APOPTOTIC_PROCESS	GOBP_NEURON_APOPTOTIC_PROCESS		42	-0.38694748	-1.4019799	0.05277778	0.25159073	1.0	154	tags=17%, list=7%, signal=18%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS		48	-0.3647842	-1.3988924	0.055900622	0.2537571	1.0	325	tags=33%, list=15%, signal=38%	
GOBP_REGULATION_OF_MEIOTIC_CELL_CYCLE	GOBP_REGULATION_OF_MEIOTIC_CELL_CYCLE		15	-0.48643294	-1.3980453	0.10377359	0.25304177	1.0	498	tags=53%, list=22%, signal=68%	
GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	GOBP_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY		36	-0.40034777	-1.396411	0.07105263	0.25332567	1.0	487	tags=47%, list=22%, signal=59%	
GOBP_DNA_BIOSYNTHETIC_PROCESS	GOBP_DNA_BIOSYNTHETIC_PROCESS		22	-0.44142422	-1.3939803	0.09245742	0.25450537	1.0	448	tags=55%, list=20%, signal=68%	
GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	GOBP_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION		20	-0.44960946	-1.3901215	0.060686015	0.25787354	1.0	416	tags=50%, list=19%, signal=61%	
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS	GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS		21	-0.44689476	-1.3879876	0.1025	0.2588249	1.0	526	tags=71%, list=24%, signal=93%	
GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS	GOBP_RESPONSE_TO_TEMPERATURE_STIMULUS		19	-0.4629459	-1.3868215	0.10714286	0.25838923	1.0	185	tags=26%, list=8%, signal=28%	
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION		206	-0.29155463	-1.3842236	0.014285714	0.26018965	1.0	299	tags=25%, list=13%, signal=26%	
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS		17	-0.46085715	-1.3734592	0.11111111	0.27344888	1.0	251	tags=24%, list=11%, signal=26%	
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC		24	-0.43012837	-1.3700414	0.101928376	0.2762464	1.0	341	tags=38%, list=15%, signal=44%	
GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS		28	-0.40572295	-1.3696996	0.10539846	0.2746911	1.0	251	tags=21%, list=11%, signal=24%	
GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS	GOBP_GLYCEROPHOSPHOLIPID_METABOLIC_PROCESS		34	-0.39227086	-1.3581067	0.085051544	0.28977382	1.0	100	tags=15%, list=4%, signal=15%	
GOBP_CELLULAR_RESPONSE_TO_STRESS	GOBP_CELLULAR_RESPONSE_TO_STRESS		277	-0.26871035	-1.3542182	0.005586592	0.29339004	1.0	412	tags=33%, list=18%, signal=36%	
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS		16	-0.47051	-1.3459828	0.14214464	0.30411163	1.0	251	tags=25%, list=11%, signal=28%	
GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	GOBP_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION		71	-0.32497314	-1.3454332	0.05466238	0.302736	1.0	374	tags=28%, list=17%, signal=33%	
GOBP_REGULATION_OF_ERBB_SIGNALING_PATHWAY	GOBP_REGULATION_OF_ERBB_SIGNALING_PATHWAY		19	-0.44368353	-1.3426542	0.10761155	0.3049696	1.0	100	tags=16%, list=4%, signal=16%	
GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	GOBP_HEPATICOBILIARY_SYSTEM_DEVELOPMENT		27	-0.4097556	-1.3371899	0.08900524	0.3113757	1.0	264	tags=33%, list=12%, signal=37%	
GOBP_CERAMIDE_METABOLIC_PROCESS	GOBP_CERAMIDE_METABOLIC_PROCESS		18	-0.45673174	-1.3370411	0.13350785	0.30947632	1.0	71	tags=22%, list=3%, signal=23%	
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY	GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY		37	-0.37816483	-1.3357993	0.08522727	0.3095025	1.0	269	tags=27%, list=12%, signal=30%	
GOBP_REGULATION_OF_HYDROLASE_ACTIVITY	GOBP_REGULATION_OF_HYDROLASE_ACTIVITY		31	-0.39064503	-1.3285092	0.09836066	0.3192923	1.0	282	tags=26%, list=13%, signal=29%	
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION		186	-0.27874875	-1.3227222	0.014563107	0.3266944	1.0	368	tags=28%, list=16%, signal=31%	
GOBP_CELLULAR_RESPONSE_TO_RADIATION	GOBP_CELLULAR_RESPONSE_TO_RADIATION		29	-0.38850802	-1.3197198	0.11634349	0.32951462	1.0	341	tags=31%, list=15%, signal=36%	
