ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:1905818	GO:1905818	regulation of chromosome separation	12/666	71/13131	0.169014084507042	3.33231823372668	4.55479389261413	0.000213967218754733	0.0202377327738852	0.0187737465403002	55143/991/83540/55055/9212/147841/23397/699/11065/64151/891/54908	12
GO:1901991	GO:1901991	negative regulation of mitotic cell cycle phase transition	20/666	163/13131	0.122699386503067	2.41916763389156	4.21419216566394	0.000221077479751529	0.0204835052667743	0.0190017399889552	55143/991/83540/51514/7465/595/1111/144455/55055/55159/9212/672/5932/147841/699/64859/891/54908/2146/54984	20
GO:0070373	GO:0070373	negative regulation of ERK1 and ERK2 cascade	11/666	62/13131	0.17741935483871	3.49803836094159	4.55718968054868	0.000250816115767018	0.0227741033116452	0.0211266374565019	54206/1848/10253/161742/5771/200734/3976/81848/7430/7099/25	11
GO:0045766	GO:0045766	positive regulation of angiogenesis	17/666	129/13131	0.131782945736434	2.59826105174942	4.21658468188753	0.000275387966035438	0.0241063665310492	0.0223625255021395	23576/23411/2113/8091/7082/7057/672/1829/126393/861/7048/3576/306/7424/3696/5054/25	17
GO:0008608	GO:0008608	attachment of spindle microtubules to kinetochore	10/666	53/13131	0.188679245283019	3.72004079551249	4.58633762349831	0.000283123709642571	0.0241063665310492	0.0223625255021395	55143/11004/83540/23411/90417/55055/9212/147841/1894/891	10
GO:0035825	GO:0035825	homologous recombination	10/666	53/13131	0.188679245283019	3.72004079551249	4.58633762349831	0.000283123709642571	0.0241063665310492	0.0223625255021395	8438/10635/5888/29893/672/146956/5932/29128/11144/84057	10
GO:0006270	GO:0006270	DNA replication initiation	8/666	35/13131	0.228571428571429	4.50656370656371	4.80142068000689	0.000291779019906979	0.0241063665310492	0.0223625255021395	55388/64318/23649/23594/8318/5558/4176/222229	8
GO:0061982	GO:0061982	meiosis I cell cycle process	14/666	95/13131	0.147368421052632	2.90554765291607	4.30856626598509	0.000293562652487214	0.0241063665310492	0.0223625255021395	991/8438/10635/5888/29893/146956/994/6790/11144/993/84057/9232/4603/1164	14
GO:0044786	GO:0044786	cell cycle DNA replication	9/666	44/13131	0.204545454545455	4.03286240786241	4.6578160315255	0.000301587098346072	0.0241063665310492	0.0223625255021395	2237/144455/5888/54962/79915/80174/9837/8318/10926	9
GO:0043032	GO:0043032	positive regulation of macrophage activation	5/666	13/13131	0.384615384615385	7.58316008316008	5.4890301348392	0.000302657024729031	0.0241063665310492	0.0223625255021395	5321/1075/7057/10333/7099	5
GO:0000819	GO:0000819	sister chromatid segregation	24/666	219/13131	0.10958904109589	2.16068122917438	4.00370062576455	0.000312648399409726	0.0244728229882785	0.0227024727048695	55143/991/11004/83540/23411/440145/90417/55055/9493/9212/6605/29128/147841/23397/699/11065/56992/79598/64151/64105/891/54908/54984/10783	24
GO:0033047	GO:0033047	regulation of mitotic sister chromatid segregation	10/666	54/13131	0.185185185185185	3.65115115115115	4.51232781732128	0.000331943260302521	0.0251170400295574	0.0233000874468489	55143/991/83540/23411/55055/9212/147841/699/891/54908	10
GO:0045839	GO:0045839	negative regulation of mitotic nuclear division	10/666	54/13131	0.185185185185185	3.65115115115115	4.51232781732128	0.000331943260302521	0.0251170400295574	0.0233000874468489	55143/991/83540/1111/55055/9212/147841/699/891/54908	10
GO:0007094	GO:0007094	mitotic spindle assembly checkpoint signaling	9/666	45/13131	0.2	3.94324324324324	4.57143228187754	0.000360277421124787	0.0258123012638208	0.0239450538735328	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:0071173	GO:0071173	spindle assembly checkpoint signaling	9/666	45/13131	0.2	3.94324324324324	4.57143228187754	0.000360277421124787	0.0258123012638208	0.0239450538735328	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:0071174	GO:0071174	mitotic spindle checkpoint signaling	9/666	45/13131	0.2	3.94324324324324	4.57143228187754	0.000360277421124787	0.0258123012638208	0.0239450538735328	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:0045930	GO:0045930	negative regulation of mitotic cell cycle	23/666	208/13131	0.110576923076923	2.18015852390852	3.96564358437822	0.000363873850415095	0.0258123012638208	0.0239450538735328	55143/991/83540/51514/7465/595/1111/144455/54962/55055/55159/9212/672/146956/5932/147841/699/64859/891/54908/2146/54984/25	23
GO:1901992	GO:1901992	positive regulation of mitotic cell cycle phase transition	13/666	86/13131	0.151162790697674	2.98035826524199	4.25886903657049	0.000371565223097432	0.0259524017363437	0.024075019556483	991/163786/51514/6240/7465/595/1111/80174/994/11065/993/891/301	13
GO:1904018	GO:1904018	positive regulation of vasculature development	17/666	133/13131	0.12781954887218	2.52011786222313	4.07275375364233	0.00039681939916273	0.0272963647302848	0.0253217610215324	23576/23411/2113/8091/7082/7057/672/1829/126393/861/7048/3576/306/7424/3696/5054/25	17
GO:0031577	GO:0031577	spindle checkpoint signaling	9/666	46/13131	0.195652173913043	3.8575205640423	4.48750301140066	0.000428073809635201	0.0290067924737882	0.0269084573817822	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:0038065	GO:0038065	collagen-activated signaling pathway	5/666	14/13131	0.357142857142857	7.04150579150579	5.22775578064183	0.000451236575042665	0.0296900587057058	0.0275422965178597	84959/1282/1284/22801/3673	5
GO:0051081	GO:0051081	nuclear membrane disassembly	5/666	14/13131	0.357142857142857	7.04150579150579	5.22775578064183	0.000451236575042665	0.0296900587057058	0.0275422965178597	7465/1111/7443/993/10783	5
GO:0033046	GO:0033046	negative regulation of sister chromatid segregation	9/666	47/13131	0.191489361702128	3.77544565842438	4.40590091466791	0.000506022408381741	0.0314704347130562	0.0291938811237973	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:0033048	GO:0033048	negative regulation of mitotic sister chromatid segregation	9/666	47/13131	0.191489361702128	3.77544565842438	4.40590091466791	0.000506022408381741	0.0314704347130562	0.0291938811237973	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:0045841	GO:0045841	negative regulation of mitotic metaphase/anaphase transition	9/666	47/13131	0.191489361702128	3.77544565842438	4.40590091466791	0.000506022408381741	0.0314704347130562	0.0291938811237973	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:2000816	GO:2000816	negative regulation of mitotic sister chromatid separation	9/666	47/13131	0.191489361702128	3.77544565842438	4.40590091466791	0.000506022408381741	0.0314704347130562	0.0291938811237973	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:0051304	GO:0051304	chromosome separation	12/666	78/13131	0.153846153846154	3.03326403326403	4.16302718575433	0.000525026012133278	0.0322110553389876	0.0298809256692069	55143/991/83540/55055/9212/147841/23397/699/11065/64151/891/54908	12
GO:1902100	GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	9/666	48/13131	0.1875	3.69679054054054	4.32650789303354	0.000595243457620373	0.0348007810476395	0.0322833120731754	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:1905819	GO:1905819	negative regulation of chromosome separation	9/666	48/13131	0.1875	3.69679054054054	4.32650789303354	0.000595243457620373	0.0348007810476395	0.0322833120731754	55143/991/83540/55055/9212/147841/699/891/54908	9
GO:0002274	GO:0002274	myeloid leukocyte activation	19/666	163/13131	0.116564417177914	2.29820925219698	3.85500847775042	0.000602631663135535	0.0348007810476395	0.0322833120731754	5321/55509/1075/867/7057/136/284021/5880/7048/10333/3576/6372/306/2150/1437/3696/7462/301/7099	19
GO:0010965	GO:0010965	regulation of mitotic sister chromatid separation	10/666	58/13131	0.172413793103448	3.39934762348555	4.23294744656781	0.00060296425418173	0.0348007810476395	0.0322833120731754	55143/991/83540/55055/9212/147841/699/11065/891/54908	10
GO:0042770	GO:0042770	signal transduction in response to DNA damage	21/666	189/13131	0.111111111111111	2.19069069069069	3.8111189045356	0.000605564251710026	0.0348007810476395	0.0322833120731754	51514/23411/27063/595/3014/1111/144455/161742/5888/79968/54962/55159/8533/79915/672/146956/5366/200734/5810/6591/25	21
GO:0045786	GO:0045786	negative regulation of cell cycle	32/666	342/13131	0.0935672514619883	1.84479216058163	3.65904685390336	0.000618523513644727	0.0350915962986392	0.0325530899120926	55143/991/83540/51514/23411/7465/595/3014/1111/2113/144455/5888/79968/54962/55055/55159/9212/672/146956/5932/147841/699/64859/8318/3976/5810/891/54908/1021/2146/54984/25	32
GO:0010638	GO:0010638	positive regulation of organelle organization	39/666	446/13131	0.0874439461883408	1.7240637498485	3.59602195770296	0.000635523124880576	0.0350915962986392	0.0325530899120926	991/163786/10962/5202/5305/120/9793/2237/10635/89795/3936/10979/57143/79768/55329/302/9212/5366/55704/7039/23397/699/11065/6790/64151/9662/2069/685/10733/5562/2150/1437/1490/4609/304/301/25/4478/1736	39
GO:0033260	GO:0033260	nuclear DNA replication	8/666	39/13131	0.205128205128205	4.04435204435204	4.40096093499187	0.000637539154525345	0.0350915962986392	0.0325530899120926	2237/5888/54962/79915/80174/9837/8318/10926	8
GO:0030397	GO:0030397	membrane disassembly	5/666	15/13131	0.333333333333333	6.57207207207207	4.99097031632219	0.000648765707480666	0.0350915962986392	0.0325530899120926	7465/1111/7443/993/10783	5
GO:0034612	GO:0034612	response to tumor necrosis factor	21/666	190/13131	0.110526315789474	2.17916073968706	3.78433198978064	0.0006492718257898	0.0350915962986392	0.0325530899120926	7133/23411/355/27063/330/55504/23405/7057/672/5771/10010/9076/3093/3576/81792/2150/4217/9590/8439/4982/3037	21
GO:0051054	GO:0051054	positive regulation of DNA metabolic process	26/666	258/13131	0.10077519379845	1.98690551016132	3.70057216932835	0.000659412313455586	0.0352203753304513	0.0326725531410006	23411/7465/3014/10635/8089/144455/7334/5985/5983/9212/79915/6605/672/80174/4862/150275/993/5984/2069/6502/1161/10926/79075/4609/51010/1736	26
GO:0051052	GO:0051052	regulation of DNA metabolic process	39/666	448/13131	0.0870535714285714	1.71636703667954	3.56604599765509	0.000692681206191916	0.0365671241408291	0.0339218788980888	6282/22891/23411/27063/7465/3014/1111/10635/8091/8089/144455/7334/5985/5983/79596/5888/54962/9212/79915/6605/672/80174/4862/150275/993/5984/2069/3575/6502/1161/8464/10926/4176/54984/79075/4609/51010/25/1736	39
GO:0010755	GO:0010755	regulation of plasminogen activation	5/666	16/13131	0.3125	6.16131756756757	4.77485031291238	0.000904548929691773	0.0468898529274398	0.0434978672763011	7057/302/861/5054/304	5
GO:0051306	GO:0051306	mitotic sister chromatid separation	10/666	61/13131	0.163934426229508	3.23216659282233	4.03902986137061	0.000908878206523062	0.0468898529274398	0.0434978672763011	55143/991/83540/55055/9212/147841/699/11065/891/54908	10
