ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0006814	GO:0006814	sodium ion transport	35/1193	255/18860	0.137254901960784	2.16984698321911	4.88745149209403	1.26796063860919e-05	0.00289517679149098	0.00245194669106487	79570/6536/481/254428/3784/55800/6539/41/6334/5025/10021/5652/6553/610/6324/57731/7040/478/6543/54795/57030/3777/525/26504/6640/128414/6526/150094/7533/54946/6583/65268/2902/10916/6535	35
GO:0060349	GO:0060349	bone morphogenesis	19/1193	100/18860	0.19	3.00368818105616	5.22049719818603	1.41033582029205e-05	0.00309145611808017	0.00261817710807059	9249/2263/4054/3636/5916/59341/1112/55512/8313/7040/1386/4880/875/6474/2261/4487/10370/5447/642658	19
GO:0098773	GO:0098773	skin epidermis development	23/1193	137/18860	0.167883211678832	2.65404641430241	5.04915153182327	1.57417506778282e-05	0.00331787668132686	0.00280993436188439	2629/7042/2263/11187/60529/79152/239/3868/3872/4669/4804/1747/79755/147495/80326/7022/3911/54345/7474/3516/6608/4851/1896	23
GO:0048568	GO:0048568	embryonic organ development	54/1193	472/18860	0.114406779661017	1.80864364158154	4.62337452149101	1.75460198612993e-05	0.0035611921792563	0.00301600006114888	2048/2709/9132/204851/1942/7042/64072/2263/3481/3784/7003/60529/7481/4647/5916/1045/22846/348093/64220/7026/5595/161882/3880/4669/2535/124590/57534/4087/1050/7040/91461/6496/525/9394/6670/655/54345/7477/3373/7474/2624/6474/4487/3516/10427/7942/5754/4602/10370/3202/6608/7046/286204/4851	54
GO:0007033	GO:0007033	vacuole organization	36/1193	270/18860	0.133333333333333	2.10785135512713	4.76454933254142	1.82792452153582e-05	0.0035775094207201	0.0030298192539291	65018/2048/51100/2629/252839/8945/9066/23130/10312/55004/4647/54734/8408/1203/23241/51172/5595/64400/535/4669/2896/283987/57521/1386/84557/58476/339122/340061/7942/137886/94241/401548/51552/11152/3920/537	36
GO:0060412	GO:0060412	ventricular septum morphogenesis	12/1193	46/18860	0.260869565217391	4.12405699916178	5.51258682303158	2.02365697907318e-05	0.00375772798205119	0.00318244768975484	26508/7042/2263/7481/161882/2535/6091/53834/3516/10370/7046/4851	12
GO:0003281	GO:0003281	ventricular septum development	16/1193	77/18860	0.207792207792208	3.28496315084748	5.22083816958778	2.07525959222313e-05	0.00375772798205119	0.00318244768975484	7798/26508/7042/2263/7481/64220/161882/2535/7474/6091/53834/3516/5754/10370/7046/4851	16
GO:0016055	GO:0016055	Wnt signaling pathway	55/1193	487/18860	0.112936344969199	1.78539770839824	4.5631234727605	2.1257220336421e-05	0.00375772798205119	0.00318244768975484	1952/57326/252839/7483/84445/8945/2263/54972/7481/81029/5916/57658/4035/55206/57447/4776/440193/23168/26108/79705/79412/2535/1747/8313/57674/147495/4772/10297/7089/7040/54795/6496/80326/130612/6714/55959/83999/7477/9620/8994/7474/3836/8532/3516/100113407/5754/2309/5218/26959/25960/65268/153090/4851/1654/1896	55
GO:0050771	GO:0050771	negative regulation of axonogenesis	13/1193	54/18860	0.240740740740741	3.8058427245351	5.36549921333416	2.35660292901808e-05	0.00403568251594346	0.00341784944540813	2048/10500/80128/6585/8408/1949/5802/10505/65078/6405/7474/23105/55558	13
GO:0003170	GO:0003170	heart valve development	16/1193	78/18860	0.205128205128205	3.24284823865712	5.15791782839018	2.4593572862685e-05	0.00408402361477315	0.00345878988043312	26508/1942/7042/64220/161882/4669/8313/4087/4772/7040/6091/6474/53834/3516/642658/4851	16
GO:0003231	GO:0003231	cardiac ventricle development	22/1193	133/18860	0.165413533834586	2.615003560872	4.85694680600138	3.02890029289108e-05	0.00464940968827325	0.00393761953814767	7798/26508/7042/2263/7481/64220/161882/4669/2535/7040/7137/7134/7474/6091/53834/3516/1832/5754/10370/6604/7046/4851	22
GO:0003179	GO:0003179	heart valve morphogenesis	14/1193	63/18860	0.222222222222222	3.51308559187855	5.19196112300616	3.05435672952257e-05	0.00464940968827325	0.00393761953814767	26508/1942/7042/64220/161882/4669/8313/4087/4772/7040/6091/53834/642658/4851	14
GO:0070228	GO:0070228	regulation of lymphocyte apoptotic process	14/1193	63/18860	0.222222222222222	3.51308559187855	5.19196112300616	3.05435672952257e-05	0.00464940968827325	0.00393761953814767	6097/1942/7042/8660/3958/64919/3965/84941/3718/27113/10018/79444/7474/1831	14
GO:0010721	GO:0010721	negative regulation of cell development	37/1193	288/18860	0.128472222222222	2.03100260780479	4.58168067959179	3.21170228287518e-05	0.00475679148923135	0.00402856198156377	63976/2048/79727/10500/80128/9283/7832/6585/8408/4776/8111/161882/1949/2064/6776/2302/10272/5802/3718/1050/7040/10505/4880/3635/655/140685/65078/7533/6405/7474/2624/7098/23105/9444/54542/4851/55558	37
GO:0003206	GO:0003206	cardiac chamber morphogenesis	22/1193	134/18860	0.164179104477612	2.5954886089252	4.81639109880969	3.41109077749785e-05	0.00484336013468322	0.00410187760926206	9249/26508/7042/2263/7481/161882/4669/2535/7040/7137/655/7134/6091/6474/53834/3516/1832/10370/6608/6604/7046/4851	22
GO:0003007	GO:0003007	heart morphogenesis	36/1193	278/18860	0.129496402877698	2.04719376217383	4.5708962546458	3.44691688417236e-05	0.00484336013468322	0.00410187760926206	9249/26508/1942/9095/7042/2263/7481/2013/161882/4669/2535/8313/57534/4087/3643/6261/7040/7137/1386/655/54345/7134/7474/6091/6474/53834/4487/3516/10427/1832/10370/6608/6604/7046/1289/4851	36
GO:0030308	GO:0030308	negative regulation of cell growth	26/1193	174/18860	0.149425287356322	2.36224720833213	4.69105501287905	3.76047870116691e-05	0.00515185582059867	0.00436314489301182	64175/10500/4881/80128/7042/6585/56981/6494/8408/23251/5802/684/7040/10505/65078/5465/6405/3373/8692/7474/4487/23105/54825/734/1654/55558	26
GO:0006887	GO:0006887	exocytosis	44/1193	370/18860	0.118918918918919	1.87997553295122	4.4422311290217	4.12468305754367e-05	0.0055129910134974	0.00466899296552248	5293/9783/9066/91683/10257/376267/7127/10125/192683/9143/25837/5170/51760/112476/2775/283849/55512/3965/9001/326624/10966/201475/255057/9545/23025/5864/8541/6861/84446/23332/9751/3745/9145/10675/2624/10815/115827/9522/644150/60412/286/4851/8573/6855	44
GO:0051056	GO:0051056	regulation of small GTPase mediated signal transduction	39/1193	314/18860	0.124203821656051	1.96352395342257	4.47404512101642	4.27287800390707e-05	0.0055550593820871	0.00470462097879793	57449/55160/2048/1435/7042/84033/58480/221002/5662/8567/6494/9828/408/23348/23263/10125/2064/10672/23526/25959/199731/50649/6714/50861/65078/9901/9922/5364/1795/7474/6091/153478/2149/89846/153090/9649/84253/4851/23096	39
GO:0001942	GO:0001942	hair follicle development	18/1193	99/18860	0.181818181818182	2.87434275699154	4.85888662379048	4.35889696039681e-05	0.0055550593820871	0.00470462097879793	7042/2263/11187/60529/3872/4669/4804/1747/147495/80326/7022/3911/54345/7474/3516/6608/4851/1896	18
GO:0003205	GO:0003205	cardiac chamber development	26/1193	176/18860	0.147727272727273	2.33540349005563	4.62521642348179	4.58882237856095e-05	0.00571516968966228	0.0048402195854247	9249/7798/26508/7042/2263/7481/64220/161882/4669/2535/7040/7137/655/7134/7474/6091/6474/53834/3516/1832/5754/10370/6608/6604/7046/4851	26
GO:0001503	GO:0001503	ossification	51/1193	455/18860	0.112087912087912	1.77198493040907	4.3315642209249	5.10899930262945e-05	0.00622162581742431	0.00526914103515632	9249/656/64175/79639/1435/2263/3481/90993/4054/10312/3636/7481/30812/79412/5595/55512/10140/8313/2194/4087/10272/3727/1050/6261/7040/54795/91461/525/6670/4880/9770/58476/655/875/83999/7477/5600/8994/5364/7474/6474/8646/2261/3516/222663/56975/3486/43/6608/642658/4851	51
GO:0070232	GO:0070232	regulation of T cell apoptotic process	11/1193	43/18860	0.255813953488372	4.0441334139067	5.19303040112895	5.44246079954177e-05	0.00647541934052002	0.00548408065162366	6097/1942/7042/3958/64919/3965/3718/27113/10018/7474/1831	11
