ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009314	GO:0009314	response to radiation	41/720	462/18860	0.0887445887445888	2.3246151996152	5.74291451574551	5.12304506248007e-07	9.14937899676996e-05	8.3486660277453e-05	8438/6121/51514/10276/23411/6240/2237/595/4312/3014/867/10635/3845/51761/5888/54962/64782/4313/55159/9212/8533/672/9241/10010/64859/7056/7150/993/1894/10874/23657/55294/5810/5562/26272/1161/7518/1958/22976/4609/2776	41
GO:0007088	GO:0007088	regulation of mitotic nuclear division	18/720	119/18860	0.151260504201681	3.96218487394958	6.45797259040948	5.9873720077335e-07	0.000103111099361753	9.40872744072407e-05	55143/991/83540/11130/1111/55055/9212/147841/7039/699/11065/6790/2069/685/891/54908/858/286151	18
GO:0000086	GO:0000086	G2/M transition of mitotic cell cycle	20/720	145/18860	0.137931034482759	3.61302681992337	6.29274147278349	6.59425885714766e-07	0.000109646607617814	0.000100050824039482	63967/991/51514/6240/7465/595/1111/9212/672/80174/5932/64859/994/6790/993/6502/891/1021/54984/9833	20
GO:0000725	GO:0000725	recombinational repair	24/720	201/18860	0.119402985074627	3.12769485903814	6.04185262643031	7.80786259523492e-07	0.000122553066574228	0.000111827767093862	8438/22891/119392/2237/3014/1111/10635/8089/7334/5888/55159/51659/672/5932/29128/64859/8318/11144/10721/55345/6502/4176/84296/25	24
GO:0010389	GO:0010389	regulation of G2/M transition of mitotic cell cycle	17/720	109/18860	0.155963302752294	4.08537206931702	6.43599225607258	7.87877449979481e-07	0.000122553066574228	0.000111827767093862	63967/51514/6240/7465/595/1111/9212/672/80174/5932/64859/994/6790/993/891/1021/54984	17
GO:0010971	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	9/720	29/18860	0.310344827586207	8.12931034482759	7.65449889510679	8.25575513437982e-07	0.000124403910181186	0.000113516633097723	51514/6240/7465/595/1111/80174/994/993/891	9
GO:0000819	GO:0000819	sister chromatid segregation	26/720	233/18860	0.111587982832618	2.92298521697663	5.88422655925732	1.01818372811735e-06	0.000148778240514602	0.000135757830415646	55143/991/11004/83540/11130/23411/440145/90417/55055/9493/3835/9212/6605/29128/147841/23397/699/11065/56992/79598/64151/64105/891/54908/54984/10783	26
GO:0000724	GO:0000724	double-strand break repair via homologous recombination	23/720	195/18860	0.117948717948718	3.08960113960114	5.84350798871878	1.63585419583898e-06	0.000232002615656928	0.000211698778285044	8438/22891/119392/2237/3014/1111/10635/8089/7334/5888/55159/51659/672/5932/29128/64859/8318/11144/10721/6502/4176/84296/25	23
GO:0045786	GO:0045786	negative regulation of cell cycle	36/720	399/18860	0.0902255639097744	2.36340852130326	5.48392842468286	1.73142464926309e-06	0.00023854084739276	0.000217664813050217	63967/55143/991/83540/51514/11130/23411/7465/595/3014/1111/2113/144455/5888/79968/54962/55055/55159/9212/672/146956/5932/147841/699/64859/8318/3976/5810/26272/891/54908/1021/2146/54984/286151/25	36
GO:1902850	GO:1902850	microtubule cytoskeleton organization involved in mitosis	21/720	170/18860	0.123529411764706	3.23578431372549	5.83386871987881	2.18598737289024e-06	0.000292800864224354	0.000267176234464363	3925/55143/991/163786/83540/9793/440145/10253/9493/9212/81565/29128/6790/56992/25886/79598/891/64946/54908/6867/10783	21
GO:0051983	GO:0051983	regulation of chromosome segregation	18/720	134/18860	0.134328358208955	3.51865671641791	5.8291577112717	3.48388706957623e-06	0.000454035228364772	0.000414300083949606	55143/991/11004/83540/11130/23411/55055/9212/6605/147841/23397/699/11065/56852/64151/891/54908/10783	18
GO:0051985	GO:0051985	negative regulation of chromosome segregation	11/720	53/18860	0.207547169811321	5.43658280922432	6.44367609710377	4.0982755163705e-06	0.000520049593156278	0.000474537165053427	55143/991/83540/11130/23411/55055/9212/147841/699/891/54908	11
GO:0051321	GO:0051321	meiotic cell cycle	29/720	299/18860	0.096989966555184	2.54059829059829	5.34972253202333	4.33697918971506e-06	0.000536228555200154	0.000489300216275545	2827/991/8438/83540/9156/11130/119504/3014/10635/5139/5888/55329/29893/146956/5932/23397/994/6790/3976/11144/993/2069/84057/5810/9232/4603/286151/1164/85417	29
GO:0007052	GO:0007052	mitotic spindle organization	18/720	137/18860	0.131386861313869	3.44160583941606	5.71419500198397	4.79347599545521e-06	0.000566883978449395	0.000517272813184848	3925/55143/991/163786/83540/9793/440145/9493/9212/29128/6790/56992/25886/79598/891/64946/6867/10783	18
GO:1901991	GO:1901991	negative regulation of mitotic cell cycle phase transition	22/720	193/18860	0.113989637305699	2.98589522164652	5.52464858915341	4.82004212285881e-06	0.000566883978449395	0.000517272813184848	63967/55143/991/83540/51514/11130/7465/595/1111/144455/55055/55159/9212/672/5932/147841/699/64859/891/54908/2146/54984	22
GO:0043085	GO:0043085	positive regulation of catalytic activity	30/720	318/18860	0.0943396226415094	2.47117400419287	5.27116063202889	5.20236580546766e-06	0.000597164275112082	0.000544903112918532	1969/63967/991/8543/6000/10276/23411/6001/8091/5985/5983/9824/57214/81565/136/23531/55704/10010/55854/11065/1894/5984/10333/2069/2150/7518/2146/66036/8797/79075	30
GO:0007051	GO:0007051	spindle organization	23/720	209/18860	0.110047846889952	2.88264221158958	5.45251427297559	5.35773702671913e-06	0.000597164275112082	0.000544903112918532	3925/55143/991/163786/83540/9793/440145/90417/9493/9212/10982/29128/23354/6790/56992/25886/79598/891/64946/55521/7430/6867/10783	23
GO:1905818	GO:1905818	regulation of chromosome separation	13/720	76/18860	0.171052631578947	4.48062865497076	6.05727630670676	5.44903112918532e-06	0.000597164275112082	0.000544903112918532	55143/991/83540/11130/55055/9212/147841/23397/699/11065/64151/891/54908	13
GO:0045930	GO:0045930	negative regulation of mitotic cell cycle	25/720	244/18860	0.102459016393443	2.68385701275046	5.27428841959902	7.59496018418202e-06	0.000813842177958349	0.00074261832912002	63967/55143/991/83540/51514/11130/7465/595/1111/144455/54962/55055/55159/9212/672/146956/5932/147841/699/64859/891/54908/2146/54984/25	25
GO:0042770	GO:0042770	signal transduction in response to DNA damage	22/720	200/18860	0.11	2.88138888888889	5.32898735939293	8.59433711035326e-06	0.000867316921589421	0.000791413200952603	63967/51514/23411/595/3014/1111/144455/161742/5888/79968/54962/55159/8533/79915/672/146956/5366/200734/5810/26272/22976/25	22
GO:0033047	GO:0033047	regulation of mitotic sister chromatid segregation	11/720	57/18860	0.192982456140351	5.05506822612086	6.1084209431684	8.63359855584658e-06	0.000867316921589421	0.000791413200952603	55143/991/83540/11130/23411/55055/9212/147841/699/891/54908	11
GO:0045839	GO:0045839	negative regulation of mitotic nuclear division	11/720	57/18860	0.192982456140351	5.05506822612086	6.1084209431684	8.63359855584658e-06	0.000867316921589421	0.000791413200952603	55143/991/83540/11130/1111/55055/9212/147841/699/891/54908	11
